,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1222,929905,2019-05-23 10:00:00,2019-05-23 10:15:00,2019-05-23 10:30:00,29,5,38,28,1,0.0,0.0,13.0,13.0,-34.0,-34.0,14.0,14.0,-38.0,-39.0,0.0,0.0,13.0,13.0,-34.0,-34.0,14.0,14.0,-38.0,-39.0,1.0,0.0,17.0,,-34.0,-79.0,17.0,,-35.0,-65.0,-76.5,17.0,-37,-83,3.0
118,1211633,2018-10-18 14:30:00,2018-10-18 14:45:00,2018-10-18 15:00:00,19,8,18,56,0,0.0,0.0,18.0,18.0,-52.0,-66.0,18.0,18.0,-51.0,-64.0,30.0,1.0,18.0,18.0,-49.0,-82.0,18.0,18.0,-49.0,-79.0,49.0,12.0,18.0,18.0,-55.0,-84.0,18.0,18.0,-54.0,-80.0,-68.0,19.0,-43,-84,3.0
120,1211633,2018-10-18 15:15:00,2018-10-18 15:30:00,2018-10-18 15:45:00,19,8,18,56,0,71.0,9.0,18.0,18.0,-57.0,-78.0,18.0,18.0,-54.0,-75.0,0.0,0.0,18.0,18.0,-50.0,-60.0,18.0,18.0,-49.0,-59.0,7.0,0.0,18.0,18.0,-60.0,-94.0,18.0,18.0,-59.0,-94.0,-68.0,19.0,-43,-84,3.0
119,1211633,2018-10-18 14:45:00,2018-10-18 15:00:00,2018-10-18 15:15:00,19,8,18,56,0,30.0,1.0,18.0,18.0,-49.0,-82.0,18.0,18.0,-49.0,-79.0,49.0,12.0,18.0,18.0,-55.0,-84.0,18.0,18.0,-54.0,-80.0,71.0,9.0,18.0,18.0,-57.0,-78.0,18.0,18.0,-54.0,-75.0,-68.0,19.0,-43,-84,3.0
121,1211633,2018-10-18 15:30:00,2018-10-18 15:45:00,2018-10-18 16:00:00,19,8,18,56,0,0.0,0.0,18.0,18.0,-50.0,-60.0,18.0,18.0,-49.0,-59.0,7.0,0.0,18.0,18.0,-60.0,-94.0,18.0,18.0,-59.0,-94.0,37.0,0.0,18.0,18.0,-66.0,-94.0,18.0,18.0,-63.0,-94.0,-68.0,19.0,-43,-84,3.0
117,1211633,2018-10-18 14:15:00,2018-10-18 14:30:00,2018-10-18 14:45:00,19,8,18,56,0,0.0,0.0,18.0,18.0,-47.0,-58.0,18.0,18.0,-46.0,-57.0,0.0,0.0,18.0,18.0,-52.0,-66.0,18.0,18.0,-51.0,-64.0,30.0,1.0,18.0,18.0,-49.0,-82.0,18.0,18.0,-49.0,-79.0,-68.0,19.0,-43,-84,3.0
2361,64734,2019-06-07 03:00:00,2019-06-07 03:15:00,2019-06-07 03:30:00,19,9,11,40,0,39.0,37.0,22.0,22.0,-34.0,-42.0,22.0,22.0,-36.0,-43.0,45.0,41.0,22.0,22.0,-34.0,-41.0,22.0,22.0,-35.0,-42.0,33.0,30.0,22.0,22.0,-35.0,-42.0,22.0,22.0,-36.0,-42.0,-66.5,23.0,-38,-85,4.0
2364,64734,2019-06-07 13:30:00,2019-06-07 13:45:00,2019-06-07 14:00:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-37.0,-42.0,22.0,22.0,-37.0,-43.0,0.0,0.0,22.0,22.0,-37.0,-42.0,22.0,22.0,-37.0,-43.0,16.0,15.0,22.0,22.0,-37.0,-42.0,22.0,22.0,-37.0,-43.0,-66.5,23.0,-38,-85,4.0
2362,64734,2019-06-07 07:00:00,2019-06-07 07:15:00,2019-06-07 07:30:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-37.0,-47.0,22.0,22.0,-37.0,-48.0,9.0,9.0,22.0,22.0,-37.0,-78.0,22.0,22.0,-38.0,-75.0,8.0,6.0,22.0,22.0,-41.0,-54.0,22.0,22.0,-42.0,-81.0,-66.5,23.0,-38,-85,4.0
690,127346,2018-06-07 16:45:00,2018-06-07 17:00:00,2018-06-07 17:15:00,19,2,18,28,1,900.0,53.0,23.0,19.0,-49.0,-60.0,23.0,19.0,-49.0,-59.0,857.0,128.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-49.0,-54.0,859.0,185.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-49.0,-54.0,-85.0,23.0,-45,-86,4.0
680,127346,2018-06-07 10:45:00,2018-06-07 11:00:00,2018-06-07 11:15:00,19,2,18,28,1,836.0,170.0,23.0,19.0,-47.0,-56.0,23.0,19.0,-48.0,-56.0,510.0,188.0,23.0,19.0,-45.0,-56.0,23.0,19.0,-45.0,-56.0,689.0,204.0,23.0,19.0,-46.0,-55.0,23.0,19.0,-47.0,-56.0,-85.0,23.0,-45,-86,4.0
683,127346,2018-06-07 12:00:00,2018-06-07 12:15:00,2018-06-07 12:30:00,19,2,18,28,1,514.0,135.0,23.0,19.0,-45.0,-55.0,23.0,19.0,-45.0,-55.0,295.0,102.0,23.0,19.0,-46.0,-54.0,23.0,19.0,-47.0,-53.0,522.0,163.0,23.0,19.0,-46.0,-53.0,23.0,19.0,-46.0,-54.0,-85.0,23.0,-45,-86,4.0
687,127346,2018-06-07 13:45:00,2018-06-07 14:00:00,2018-06-07 14:15:00,19,2,18,28,1,845.0,40.0,23.0,19.0,-49.0,-53.0,23.0,19.0,-49.0,-53.0,785.0,48.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,820.0,59.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,-85.0,23.0,-45,-86,4.0
689,127346,2018-06-07 16:30:00,2018-06-07 16:45:00,2018-06-07 17:00:00,19,2,18,28,1,900.0,83.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-49.0,-54.0,900.0,53.0,23.0,19.0,-49.0,-60.0,23.0,19.0,-49.0,-59.0,857.0,128.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-49.0,-54.0,-85.0,23.0,-45,-86,4.0
681,127346,2018-06-07 11:30:00,2018-06-07 11:45:00,2018-06-07 12:00:00,19,2,18,28,1,900.0,222.0,23.0,19.0,-47.0,-55.0,23.0,19.0,-48.0,-55.0,900.0,208.0,23.0,19.0,-48.0,-56.0,23.0,19.0,-47.0,-55.0,514.0,135.0,23.0,19.0,-45.0,-55.0,23.0,19.0,-45.0,-55.0,-85.0,23.0,-45,-86,4.0
676,127346,2018-03-07 21:00:00,2018-03-07 21:15:00,2018-03-07 21:30:00,19,2,18,28,1,673.0,26.0,23.0,19.0,-51.0,-53.0,23.0,19.0,-50.0,-53.0,539.0,36.0,23.0,19.0,-50.0,-53.0,23.0,19.0,-49.0,-53.0,640.0,46.0,23.0,19.0,-50.0,-53.0,23.0,19.0,-52.0,-53.0,-85.0,23.0,-45,-86,4.0
678,127346,2018-06-07 10:15:00,2018-06-07 10:30:00,2018-06-07 10:45:00,19,2,18,28,1,900.0,85.0,23.0,19.0,-48.0,-56.0,23.0,19.0,-48.0,-55.0,900.0,128.0,23.0,19.0,-48.0,-56.0,23.0,19.0,-48.0,-56.0,836.0,170.0,23.0,19.0,-47.0,-56.0,23.0,19.0,-48.0,-56.0,-85.0,23.0,-45,-86,4.0
691,127346,2018-06-07 22:45:00,2018-06-07 23:00:00,2018-06-07 23:15:00,19,2,18,28,1,900.0,151.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-50.0,-54.0,900.0,155.0,23.0,19.0,-49.0,-54.0,23.0,19.0,-49.0,-54.0,860.0,184.0,23.0,19.0,-48.0,-53.0,23.0,19.0,-49.0,-53.0,-85.0,23.0,-45,-86,4.0
686,127346,2018-06-07 13:30:00,2018-06-07 13:45:00,2018-06-07 14:00:00,19,2,18,28,1,860.0,80.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,845.0,40.0,23.0,19.0,-49.0,-53.0,23.0,19.0,-49.0,-53.0,785.0,48.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,-85.0,23.0,-45,-86,4.0
673,127346,2018-03-07 20:15:00,2018-03-07 20:30:00,2018-03-07 20:45:00,19,2,18,28,1,498.0,58.0,23.0,19.0,-50.0,-58.0,23.0,19.0,-51.0,-57.0,478.0,23.0,20.0,19.0,-53.0,-58.0,23.0,19.0,-52.0,-58.0,771.0,70.0,23.0,19.0,-50.0,-55.0,23.0,19.0,-50.0,-55.0,-85.0,23.0,-45,-86,4.0
685,127346,2018-06-07 12:30:00,2018-06-07 12:45:00,2018-06-07 13:00:00,19,2,18,28,1,522.0,163.0,23.0,19.0,-46.0,-53.0,23.0,19.0,-46.0,-54.0,791.0,108.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,843.0,197.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,-85.0,23.0,-45,-86,4.0
684,127346,2018-06-07 12:15:00,2018-06-07 12:30:00,2018-06-07 12:45:00,19,2,18,28,1,295.0,102.0,23.0,19.0,-46.0,-54.0,23.0,19.0,-47.0,-53.0,522.0,163.0,23.0,19.0,-46.0,-53.0,23.0,19.0,-46.0,-54.0,791.0,108.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,-85.0,23.0,-45,-86,4.0
688,127346,2018-06-07 14:45:00,2018-06-07 15:00:00,2018-06-07 15:15:00,19,2,18,28,1,844.0,25.0,23.0,19.0,-50.0,-53.0,23.0,19.0,-50.0,-53.0,867.0,69.0,23.0,19.0,-47.0,-53.0,23.0,19.0,-47.0,-53.0,740.0,68.0,23.0,19.0,-47.0,-54.0,23.0,19.0,-47.0,-54.0,-85.0,23.0,-45,-86,4.0
679,127346,2018-06-07 10:30:00,2018-06-07 10:45:00,2018-06-07 11:00:00,19,2,18,28,1,900.0,128.0,23.0,19.0,-48.0,-56.0,23.0,19.0,-48.0,-56.0,836.0,170.0,23.0,19.0,-47.0,-56.0,23.0,19.0,-48.0,-56.0,510.0,188.0,23.0,19.0,-45.0,-56.0,23.0,19.0,-45.0,-56.0,-85.0,23.0,-45,-86,4.0
672,127346,2018-03-07 19:45:00,2018-03-07 20:00:00,2018-03-07 20:15:00,19,2,18,28,1,401.0,13.0,23.0,-6.0,-52.0,-97.0,23.0,-6.0,-52.0,-98.0,422.0,29.0,23.0,19.0,-53.0,-57.0,23.0,19.0,-54.0,-57.0,498.0,58.0,23.0,19.0,-50.0,-58.0,23.0,19.0,-51.0,-57.0,-85.0,23.0,-45,-86,4.0
675,127346,2018-03-07 20:45:00,2018-03-07 21:00:00,2018-03-07 21:15:00,19,2,18,28,1,771.0,70.0,23.0,19.0,-50.0,-55.0,23.0,19.0,-50.0,-55.0,673.0,26.0,23.0,19.0,-51.0,-53.0,23.0,19.0,-50.0,-53.0,539.0,36.0,23.0,19.0,-50.0,-53.0,23.0,19.0,-49.0,-53.0,-85.0,23.0,-45,-86,4.0
674,127346,2018-03-07 20:30:00,2018-03-07 20:45:00,2018-03-07 21:00:00,19,2,18,28,1,478.0,23.0,20.0,19.0,-53.0,-58.0,23.0,19.0,-52.0,-58.0,771.0,70.0,23.0,19.0,-50.0,-55.0,23.0,19.0,-50.0,-55.0,673.0,26.0,23.0,19.0,-51.0,-53.0,23.0,19.0,-50.0,-53.0,-85.0,23.0,-45,-86,4.0
682,127346,2018-06-07 11:45:00,2018-06-07 12:00:00,2018-06-07 12:15:00,19,2,18,28,1,900.0,208.0,23.0,19.0,-48.0,-56.0,23.0,19.0,-47.0,-55.0,514.0,135.0,23.0,19.0,-45.0,-55.0,23.0,19.0,-45.0,-55.0,295.0,102.0,23.0,19.0,-46.0,-54.0,23.0,19.0,-47.0,-53.0,-85.0,23.0,-45,-86,4.0
677,127346,2018-03-13 06:15:00,2018-03-13 06:30:00,2018-03-13 06:45:00,19,2,18,28,1,0.0,0.0,19.0,19.0,-54.0,-55.0,19.0,19.0,-54.0,-55.0,0.0,0.0,19.0,19.0,-54.0,-55.0,19.0,19.0,-54.0,-55.0,218.0,16.0,23.0,19.0,-52.0,-55.0,23.0,19.0,-51.0,-71.0,-85.0,23.0,-45,-86,4.0
