idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
127346,2018-09-17 16:45:00,2018-09-17 17:00:00,2018-09-17 17:15:00,19,2,18,28,1,0.0,0.0,18.0,14.0,-57.0,-78.0,18.0,14.0,-57.0,-82.0,22.0,0.0,18.0,15.0,-68.0,-89.0,18.0,14.0,-70.0,-94.0,41.0,0.0,18.0,14.0,-67.0,-97.0,18.0,14.0,-67.0,-97.0,-85.0,23.0,-45,-86,0.0,1.0,0.0,0.0,0.0,0.0
7711,2018-07-05 16:15:00,2018-07-05 16:30:00,2018-07-05 16:45:00,19,5,18,28,1,0.0,0.0,15.0,15.0,-45.0,-54.0,17.0,17.0,-46.0,-56.0,0.0,0.0,17.0,15.0,-53.0,-71.0,19.0,17.0,-55.0,-77.0,36.0,1.0,17.0,16.0,-63.0,-87.0,19.0,17.0,-67.0,-94.0,-78.0,21.0,-41,-86,1.0,0.0,0.0,0.0,0.0,0.0
239324,2019-06-05 21:00:00,2019-06-05 21:15:00,2019-06-05 21:30:00,19,3,38,28,1,0.0,0.0,9.0,9.0,-84.0,-85.0,13.0,13.0,-92.0,-93.0,0.0,0.0,9.0,9.0,-84.0,-85.0,13.0,13.0,-92.0,-94.0,0.0,0.0,9.0,9.0,-84.0,-85.0,13.0,13.0,-93.0,-94.0,-77.5,19.0,-41,-84,0.0,1.0,0.0,0.0,0.0,0.0
19212,2018-05-05 11:30:00,2018-05-05 11:45:00,2018-05-05 12:00:00,19,5,23,28,1,235.0,13.0,18.0,16.0,-44.0,-47.0,18.0,16.0,-44.0,-46.0,551.0,141.0,18.0,16.0,-44.0,-48.0,18.0,16.0,-43.0,-47.0,541.0,114.0,18.0,16.0,-44.0,-48.0,18.0,16.0,-43.0,-48.0,-78.0,21.0,-42,-86,0.0,0.0,0.0,0.0,1.0,0.0
3101,2018-08-07 21:30:00,2018-08-07 21:45:00,2018-08-07 22:00:00,19,2,18,28,1,0.0,0.0,18.0,17.0,-46.0,-68.0,19.0,18.0,-48.0,-69.0,6.0,0.0,21.0,17.0,-58.0,-97.0,22.0,18.0,-59.0,-94.0,51.0,10.0,21.0,17.0,-60.0,-97.0,22.0,18.0,-61.0,-94.0,-85.0,23.0,-37,-86,1.0,0.0,0.0,0.0,0.0,0.0
107211,2019-05-27 21:45:00,2019-05-27 22:00:00,2019-05-27 22:15:00,19,3,38,28,1,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,-77.5,19.0,-41,-84,0.0,0.0,0.0,0.0,0.0,1.0
20755,2019-05-27 08:00:00,2019-05-27 08:15:00,2019-05-27 08:30:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-42.0,-44.0,22.0,22.0,-40.0,-43.0,0.0,0.0,22.0,22.0,-42.0,-43.0,22.0,22.0,-40.0,-42.0,3.0,0.0,27.0,22.0,-41.0,-43.0,22.0,22.0,-39.0,-96.0,-66.5,23.0,-38,-85,0.0,0.0,0.0,0.0,0.0,1.0
78061,2018-11-17 07:00:00,2018-11-17 07:15:00,2018-11-17 07:30:00,19,3,42,56,1,0.0,0.0,6.0,6.0,-51.0,-52.0,6.0,6.0,-38.0,-39.0,0.0,0.0,6.0,6.0,-51.0,-51.0,6.0,6.0,-38.0,-39.0,47.0,20.0,6.0,2.0,-51.0,-51.0,6.0,6.0,-38.0,-43.0,-74.0,17.0,-38,-81,0.0,0.0,0.0,0.0,1.0,0.0
13438,2018-09-02 16:45:00,2018-09-02 17:00:00,2018-09-02 17:15:00,19,2,18,28,1,0.0,0.0,15.0,14.0,-64.0,-66.0,15.0,14.0,-65.0,-68.0,0.0,0.0,16.0,14.0,-66.0,-68.0,15.0,15.0,-67.0,-71.0,1.0,0.0,18.0,14.0,-64.0,-93.0,,,,-1.0,-85.0,23.0,-47,-86,0.0,0.0,0.0,0.0,0.0,1.0
127346,2018-03-07 19:00:00,2018-03-07 19:15:00,2018-03-07 19:30:00,19,2,18,28,1,555.0,61.0,23.0,19.0,-58.0,-64.0,23.0,19.0,-59.0,-63.0,471.0,18.0,23.0,-6.0,-60.0,-98.0,23.0,-6.0,-59.0,-98.0,769.0,93.0,23.0,19.0,-57.0,-62.0,23.0,19.0,-57.0,-61.0,-85.0,23.0,-45,-86,0.0,0.0,0.0,0.0,1.0,0.0
