,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1971,4065,2019-06-05 02:30:00,2019-06-05 02:45:00,2019-06-05 03:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1979,4065,2019-06-05 04:30:00,2019-06-05 04:45:00,2019-06-05 05:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1963,4065,2019-06-05 00:30:00,2019-06-05 00:45:00,2019-06-05 01:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1976,4065,2019-06-05 03:45:00,2019-06-05 04:00:00,2019-06-05 04:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1968,4065,2019-06-05 01:45:00,2019-06-05 02:00:00,2019-06-05 02:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1970,4065,2019-06-05 02:15:00,2019-06-05 02:30:00,2019-06-05 02:45:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
2082,4080,2019-06-05 16:30:00,2019-06-05 16:45:00,2019-06-05 17:00:00,19,5,13,28,1,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,48.0,4.0,25.0,23.0,-61.0,-84.0,25.0,23.0,-61.0,-84.0,7.0,0.0,25.0,23.0,-47.0,-93.0,25.0,23.0,-47.0,-93.0,-78.5,25.0,-49,-87,0.0
2080,4080,2019-06-05 16:00:00,2019-06-05 16:15:00,2019-06-05 16:30:00,19,5,13,28,1,0.0,0.0,23.0,23.0,-48.0,-54.0,23.0,23.0,-47.0,-54.0,0.0,0.0,25.0,23.0,-53.0,-76.0,25.0,23.0,-53.0,-77.0,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,-78.5,25.0,-49,-87,0.0
1257,4713,2019-05-25 23:00:00,2019-05-25 23:15:00,2019-05-25 23:30:00,19,2,18,28,1,11.0,4.0,23.0,19.0,-60.0,-91.0,23.0,19.0,-55.0,-87.0,20.0,5.0,23.0,19.0,-65.0,-95.0,23.0,19.0,-61.0,-90.0,36.0,6.0,23.0,23.0,-78.0,-96.0,23.0,23.0,-75.0,-92.0,-85.0,23.0,-45,-86,1.0
1957,4713,2019-05-27 10:15:00,2019-05-27 10:30:00,2019-05-27 10:45:00,19,2,18,28,1,319.0,172.0,23.0,19.0,-62.0,-97.0,23.0,19.0,-57.0,-93.0,420.0,217.0,23.0,19.0,-69.0,-97.0,23.0,19.0,-65.0,-92.0,283.0,192.0,23.0,19.0,-63.0,-97.0,23.0,19.0,-57.0,-93.0,-85.0,23.0,-45,-86,1.0
